"id","type","model","model_id","site_id","content_id","content_filter_id","lft","rght","title","detail","url","status","priority","created","modified"
"11","ページ","Page","11","0","15","","15","16","アイコンの使い方","50種類のアイコンを自由にカスタマイズしよう。 アイコンの使い方50種類のアイコンを自由にカスタマイズしよう。&nbsp;&nbsp;まずは、nada-works-png.zip をダウンロードして解凍します。&nbsp;&nbsp;icons_ico_.pngをFireworksで開くと下記の50種類のアイコンがレイヤー分けされています。&nbsp;&nbsp;&nbsp;&nbsp;カスタマイズ1：ベースの形を変える。&nbsp;&nbsp;&nbsp;カスタマイズ2：色を変える。&nbsp;&nbsp;&nbsp;カスタマイズ3：パスを使って変形させる。（上級者向け）パスで作成しています。自由に変形させることが可能です。&nbsp;&nbsp;&nbsp;&nbsp;パターン例：各コンテンツで色を変える。同じアイコンを使用する、など&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;文字と写真を変えるだけで完成！かんたんバナーを作ろう。&nbsp;&nbsp;icons_banner_00.png、icons_banner_l_00.pngをFireworksで開くと各要素をレイヤー分けされています。言葉、フォント、色、画像を変更してオリジナルのバナーを作成することができます。画像は「シンボル」にて配置しています。差し替えたい画像をシンボル化し、「シンボルを入れ替え」にて差し替えてご使用ください。&nbsp;&nbsp;例：言葉、フォントの変更、画像差し替え&nbsp;","/s/icons","","0.5","2018-05-13 10:03:32","2018-05-13 10:03:32"
"12","ページ","Page","12","0","16","","23","24","サービス2","サービス紹介2のページ サービス2サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/service/service2","1","0.5","2018-05-13 10:03:32","2018-05-13 10:03:32"
"13","ページ","Page","13","0","17","","25","26","サービス3","サービス紹介3のページ サービス3サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/service/service3","1","0.5","2018-05-13 10:03:33","2018-05-13 10:03:33"
"14","ブログ","BlogContent","1","0","18","","34","35","新着情報","最新の情報をお届けします。","/news/","1","0.5","2018-05-13 10:03:33","2018-05-13 10:03:33"
"15","ブログ","BlogContent","2","0","19","","36","37","ブログ","ブログページです","/weblog/","1","0.5","2018-05-13 10:03:33","2018-05-13 10:03:33"
"16","ブログ","BlogContent","3","0","20","","38","39","実績一覧","実績一覧のページです","/works/","1","0.5","2018-05-13 10:03:34","2018-05-13 10:03:34"
"17","ブログ","BlogPost","1","0","18","1","34","35","ホームページをオープンしました","詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/news//archives/1","1","0.5","2018-05-13 10:03:34","2018-05-13 10:03:34"
"18","ブログ","BlogPost","2","0","18","1","34","35","新商品を販売を開始しました。","詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。&nbsp;","/news//archives/2","1","0.5","2018-05-13 10:03:34","2018-05-13 10:03:34"
"19","ブログ","BlogPost","3","0","20","2","38","39","ヒーリングサロンFlatti","実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。 実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。","/works//archives/1","1","0.5","2018-05-13 10:03:34","2018-05-13 10:03:34"
"20","ブログ","BlogPost","4","0","20","2","38","39","SAKOOL","実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。実績概要です。 実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。実績本文です。","/works//archives/2","1","0.5","2018-05-13 10:03:34","2018-05-13 10:03:34"
"21","ブログ","BlogPost","5","0","20","2","38","39","マイサロン福岡","baserCMSで作成したポータルサイトです。フリーワードと住所エリア、サロンカテゴリで検索できるようになっています。 サロン情報を引き立てる控えめかつ、癒しのイメージを前面に押し出したデザインです。スラッグプラグインを使わせていただきました。","/works//archives/3","1","0.5","2018-05-13 10:03:34","2018-05-13 10:03:34"
"22","ブログ","BlogPost","6","0","20","","38","39","シャクティ様","","/works//archives/4","1","0.5","2018-05-13 10:03:35","2018-05-13 10:03:35"
"23","ブログ","BlogPost","7","0","20","3","38","39","milinanea様","","/works//archives/5","1","0.5","2018-05-13 10:03:35","2018-05-13 10:03:35"
"24","ブログ","BlogPost","8","0","20","2","38","39","アロマガーデン様","","/works//archives/6","1","0.5","2018-05-13 10:03:35","2018-05-13 10:03:35"
"25","ブログ","BlogPost","9","0","20","2","38","39","ジャパンヒューマンセラピー様","1段落目のテキストを挿入します。2段落目のテキストを挿入します。新しいブロックを挿入します。不要な場合はこの段落を削除します","/works//archives/7","1","0.5","2018-05-13 10:03:35","2018-05-13 10:03:35"
"26","ブログ","BlogPost","10","0","20","3","38","39","bcColors","baserCMSバージョン3用のテーマです。サイトのイメージに合わせてカラーを変更することができます。コンテンツ内のデザインも、どのカラーにも合わせることのできるように調整されているので、管理画面からいろんなカラーをお試しください。 実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。実績の説明が入ります。","/works//archives/8","1","0.5","2018-05-13 10:03:35","2018-05-13 10:03:35"
"27","ブログ","BlogPost","11","0","19","","36","37","取材を兼ねて旅行にいってきました","ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。","/weblog//archives/1","1","0.5","2018-05-13 10:03:35","2018-05-13 10:03:35"
"28","ブログ","BlogPost","12","0","18","1","34","35","ありがとうキャンペーン中です","キャンペーン内容が入ります。キャンペーン内容が入ります。キャンペーン内容が入ります。キャンペーン内容が入ります。キャンペーン内容が入ります。キャンペーン詳細が入ります。キャンペーン詳細が入ります。キャンペーン詳細が入ります。キャンペーン詳細が入ります。キャンペーン詳細が入ります。キャンペーン詳細が入ります。キャンペーン詳細が入ります。キャンペーン内容が入ります。キャンペーン内容が入ります。キャンペーン内容が入ります。キャンペーン内容が入ります。キャンペーン内容が入ります。","/news//archives/3","1","0.5","2018-05-13 10:03:35","2018-05-13 10:03:35"
"29","ブログ","BlogPost","13","0","18","1","34","35","制作実績を公開します","詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。制作実績の紹介ページです。","/news//archives/4","1","0.5","2018-05-13 10:03:36","2018-05-13 10:03:36"
"30","ブログ","BlogPost","14","0","18","1","34","35","スタッフを募集しています","詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/news//archives/5","1","0.5","2018-05-13 10:03:36","2018-05-13 10:03:36"
"31","ブログ","BlogPost","15","0","20","2","38","39","テスト様","テスト登録 アイキャッチ画像無し","/works//archives/9","","0.5","2018-05-13 10:03:36","2018-05-13 10:03:36"
"32","ブログ","BlogPost","16","0","19","","36","37","今日は一日パソコンに向かっていました","ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。ブログ詳細が入ります。","/weblog//archives/2","1","0.5","2018-05-13 10:03:36","2018-05-13 10:03:36"
"33","ブログ","BlogPost","17","0","19","","36","37","ペットを美容院に連れて行きました","詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/weblog//archives/3","1","0.5","2018-05-13 10:03:36","2018-05-13 10:03:36"
"34","メール","MailContent","1","0","21","","40","41","お問い合わせ","* 印の項目は必須となりますので、必ず入力してください。","/contact/","1","0.5","2018-05-13 10:03:36","2018-05-13 10:03:36"
